ID,OrderDate,SubTotal,TaxAmt
1,2011-04-16 00:00:00.000,201.04,16.0832
2,2011-04-16 00:00:00.000,272.1015,21.7681
3,2011-04-16 00:00:00.000,8847.30,707.784
4,2011-04-16 00:00:00.000,171.0765,13.6861
5,2011-04-30 00:00:00.000,20397.30,1631.784
6,2011-04-30 00:00:00.000,14628.075,1170.246
7,2011-04-30 00:00:00.000,58685.55,4694.844
8,2011-04-30 00:00:00.000,693.378,55.4702
9,2011-12-14 00:00:00.000,694.1655,55.5332
10,2011-12-14 00:00:00.000,1796.0355,143.6828
11,2011-12-14 00:00:00.000,501.1965,40.0957
12,2011-12-14 00:00:00.000,34644.225,2771.538
13,2011-12-14 00:00:00.000,1839.5055,147.1604
14,2011-12-14 00:00:00.000,146.286,11.7029
15,2011-12-14 00:00:00.000,102.564,8.2051
16,2011-12-14 00:00:00.000,150.7905,12.0632
17,2011-12-15 00:00:00.000,13669.425,1093.554
18,2011-12-15 00:00:00.000,16393.23,1311.4584
19,2011-12-15 00:00:00.000,79204.125,6336.33
20,2011-12-15 00:00:00.000,551.88,44.1504
21,2011-12-15 00:00:00.000,6987.75,559.02
22,2011-12-15 00:00:00.000,28072.275,2245.782
23,2011-12-15 00:00:00.000,37312.275,2984.982
24,2011-12-15 00:00:00.000,4215.75,337.26
25,2011-12-15 00:00:00.000,28297.50,2263.80
26,2011-12-15 00:00:00.000,59.9445,4.7956
27,2011-12-15 00:00:00.000,722.61,57.8088
28,2011-12-15 00:00:00.000,43878.45,3510.276
29,2012-01-08 00:00:00.000,592.7985,47.4239
30,2012-01-08 00:00:00.000,21252.00,1700.16
31,2012-01-08 00:00:00.000,142.4115,11.3929
32,2012-01-08 00:00:00.000,28794.15,2303.532
33,2012-01-16 00:00:00.000,421.155,33.6924
34,2012-01-16 00:00:00.000,1276.275,102.102
35,2012-01-16 00:00:00.000,2003.925,160.314
36,2012-01-16 00:00:00.000,50860.425,4068.834
37,2012-01-16 00:00:00.000,454.86,36.3888
38,2012-01-16 00:00:00.000,43878.45,3510.276
39,2012-01-16 00:00:00.000,7132.125,570.57
40,2012-01-16 00:00:00.000,28343.70,2267.496
41,2012-01-16 00:00:00.000,22516.725,1801.338
42,2012-01-16 00:00:00.000,34644.225,2771.538
43,2012-01-16 00:00:00.000,427.9275,34.2342
44,2012-01-16 00:00:00.000,143.0415,11.4433
45,2012-01-16 00:00:00.000,28199.325,2255.946
46,2012-01-16 00:00:00.000,3713.325,297.066
47,2012-01-16 00:00:00.000,63831.075,5106.486
48,2012-01-16 00:00:00.000,16340.31,1307.2248
49,2012-01-20 00:00:00.000,5711.475,456.918
50,2012-01-20 00:00:00.000,429.345,34.3476
51,2012-01-20 00:00:00.000,97.965,7.8372
52,2012-01-20 00:00:00.000,114.471,9.1577
53,2012-01-24 00:00:00.000,132.6465,10.6117
54,2012-01-24 00:00:00.000,43878.45,3510.276
55,2012-01-24 00:00:00.000,418.95,33.516
56,2012-01-24 00:00:00.000,525.7665,42.0613
57,2012-01-24 00:00:00.000,461.79,36.9432
58,2012-01-24 00:00:00.000,630.378,50.4302
59,2012-01-24 00:00:00.000,37.0755,2.966
60,2012-01-24 00:00:00.000,21558.075,1724.646
61,2012-01-24 00:00:00.000,507.087,40.567
62,2012-01-24 00:00:00.000,41048.70,3283.896
63,2012-01-24 00:00:00.000,429.345,34.3476
64,2012-01-24 00:00:00.000,279.153,22.3322
65,2012-01-24 00:00:00.000,40471.20,3237.696
66,2012-01-24 00:00:00.000,563.5665,45.0853
67,2012-01-24 00:00:00.000,62092.80,4967.424
