ProductCategoryName,LineTotal
Bikes,2024.994000
Bikes,6074.982000
Bikes,2024.994000
Bikes,2039.994000
Bikes,2039.994000
Bikes,4079.988000
Bikes,2039.994000
Clothing,86.521200
Clothing,28.840400
Clothing,34.200000
Clothing,10.373000
Accessories,80.746000
Bikes,419.458900
Bikes,874.794000
Components,809.760000
Components,714.704300
Components,1429.408600
Clothing,20.746000
Clothing,115.361600
Components,1445.189800
Bikes,6074.982000
Bikes,4049.988000
Accessories,40.373000
Components,1637.400000
Bikes,8099.976000
Bikes,4079.988000
Clothing,57.680800
Bikes,4049.988000
Accessories,100.932500
Bikes,1258.376700
Bikes,2097.294500
Components,367.876400
Bikes,3499.176000
Components,551.814600
Bikes,2097.294500
Bikes,1258.376700
Bikes,838.917800
Bikes,2146.962000
Bikes,874.794000
Bikes,1258.376700
Components,356.898000
Bikes,5248.764000
Components,183.938200
Components,535.742400
Bikes,2146.962000
Bikes,1258.376700
Components,183.938200
Components,356.898000
Components,178.580800
Bikes,1258.376700
Bikes,874.794000
Bikes,419.458900
Bikes,2039.994000
Bikes,8099.976000
Clothing,28.840400
Clothing,28.840400
Bikes,4049.988000
Bikes,6119.982000
Bikes,2039.994000
Bikes,2024.994000
Accessories,40.373000
Bikes,2039.994000
Accessories,20.186500
Clothing,57.680800
Bikes,4049.988000
Clothing,10.373000
Bikes,4049.988000
Bikes,2024.994000
Clothing,34.200000
Bikes,2024.994000
Bikes,419.458900
Bikes,2146.962000
Components,356.898000
Bikes,874.794000
Bikes,838.917800
Bikes,419.458900
Clothing,17.100000
Bikes,2039.994000
Bikes,2024.994000
Bikes,2024.994000
Bikes,2624.382000
Bikes,4293.924000
Bikes,2936.212300
Bikes,2516.753400
Clothing,173.042400
Components,1103.629200
Accessories,40.373000
Accessories,40.373000
Bikes,1749.588000
Clothing,20.746000
Components,367.876400
Bikes,2624.382000
Bikes,1258.376700
Bikes,838.917800
Components,551.814600
Bikes,838.917800
Bikes,838.917800
Components,367.876400
Clothing,28.840400
Bikes,838.917800
Components,1427.592000
Bikes,5248.764000
Bikes,1677.835600
Components,535.742400
Clothing,115.361600
Components,535.742400
Accessories,20.186500
Components,1070.694000
Bikes,1258.376700
Components,714.704300
Clothing,5.700000
Clothing,11.400000
Bikes,4079.988000
Bikes,2024.994000
Bikes,2146.962000
Clothing,57.680800
Bikes,874.794000
Bikes,838.917800
Components,713.796000
Bikes,838.917800
Bikes,1749.588000
Bikes,838.917800
Clothing,28.840400
Accessories,20.186500
Accessories,20.186500
Clothing,34.200000
Bikes,4049.988000
Bikes,2039.994000
Bikes,874.794000
Clothing,86.521200
Components,183.938200
Bikes,838.917800
Bikes,419.458900
Components,357.161600
Bikes,838.917800
Clothing,5.186500
Accessories,40.373000
Accessories,20.186500
Accessories,80.746000
Bikes,2624.382000
Bikes,1677.835600
Accessories,100.932500
Components,357.161600
Accessories,20.186500
Bikes,838.917800
Bikes,1749.588000
Clothing,10.373000
Bikes,874.794000
Clothing,86.521200
Bikes,4049.988000
Bikes,4049.988000
Clothing,5.700000
Bikes,6074.982000
Clothing,22.800000
Clothing,86.521200
Bikes,2146.962000
Bikes,874.794000
Bikes,419.458900
Accessories,40.373000
Bikes,1677.835600
Bikes,838.917800
Bikes,419.458900
Clothing,25.932500
Accessories,20.186500
Bikes,874.794000
Components,367.876400
Bikes,419.458900
Components,357.161600
Bikes,419.458900
Components,713.796000
Bikes,1258.376700
Bikes,838.917800
Clothing,15.559500
Accessories,80.746000
Components,367.876400
Bikes,874.794000
Components,367.876400
Clothing,28.840400
Bikes,419.458900
Bikes,1749.588000
Clothing,57.680800
Bikes,874.794000
Bikes,874.794000
Accessories,60.559500
Accessories,20.186500
Bikes,419.458900
Bikes,838.917800
Clothing,57.680800
Bikes,1258.376700
Bikes,1749.588000
Components,357.161600
Accessories,80.746000
Components,183.938200
Accessories,20.186500
Clothing,57.680800
Components,367.876400
Bikes,874.794000
Bikes,419.458900
Bikes,4293.924000
Accessories,40.373000
Bikes,1258.376700
Clothing,15.559500
Bikes,419.458900
Clothing,173.042400
Bikes,2097.294500
Components,356.898000
Accessories,20.186500
Components,183.938200
Accessories,40.373000
Bikes,1258.376700
Components,367.876400
Bikes,2624.382000
Bikes,419.458900
Bikes,838.917800
Components,357.161600
Bikes,2146.962000
Clothing,57.680800
Bikes,838.917800
Bikes,838.917800
Bikes,874.794000
Clothing,57.680800
Accessories,40.373000
Components,183.938200
Clothing,10.373000
Bikes,1749.588000
Bikes,419.458900
Bikes,838.917800
Bikes,838.917800
Clothing,28.840400
Bikes,4049.988000
Clothing,57.680800
Bikes,4079.988000
Bikes,2039.994000
Accessories,20.186500
Accessories,40.373000
Clothing,15.559500
Bikes,8099.976000
Bikes,12149.964000
Bikes,2039.994000
Accessories,60.559500
Bikes,10124.970000
Clothing,34.200000
Bikes,1749.588000
Bikes,838.917800
Bikes,419.458900
Bikes,1749.588000
Bikes,419.458900
Bikes,419.458900
Bikes,1258.376700
Bikes,419.458900
Bikes,874.794000
Components,183.938200
Bikes,2624.382000
Bikes,419.458900
Bikes,419.458900
Bikes,419.458900
Bikes,838.917800
Components,183.938200
Bikes,838.917800
Bikes,1258.376700
Components,178.580800
Bikes,419.458900
Components,367.876400
Bikes,1749.588000
Bikes,1749.588000
Bikes,1258.376700
Bikes,419.458900
Bikes,4293.924000
Bikes,1258.376700
Components,357.161600
Components,367.876400
Bikes,2146.962000
Bikes,1749.588000
Bikes,1677.835600
Bikes,838.917800
Bikes,2936.212300
Components,551.814600
Components,178.580800
Bikes,2516.753400
Components,367.876400
Components,367.876400
Components,713.796000
Bikes,2097.294500
Bikes,838.917800
Bikes,838.917800
Bikes,2624.382000
Bikes,4293.924000
Bikes,3775.130100
Bikes,3499.176000
Clothing,28.840400
Bikes,419.458900
Clothing,10.373000
Bikes,838.917800
Bikes,874.794000
Bikes,2097.294500
Components,183.938200
Bikes,6998.352000
Components,367.876400
Clothing,288.404000
Bikes,419.458900
Bikes,3499.176000
Components,357.161600
Bikes,6998.352000
Accessories,60.559500
Bikes,2516.753400
Components,1070.694000
Clothing,31.119000
Clothing,115.361600
Bikes,2936.212300
Bikes,1749.588000
Clothing,115.361600
Bikes,838.917800
Bikes,419.458900
Bikes,4293.924000
Bikes,419.458900
Components,178.580800
Bikes,1258.376700
Accessories,60.559500
Bikes,419.458900
Components,367.876400
Accessories,80.746000
Components,367.876400
Clothing,86.521200
Bikes,2039.994000
Clothing,34.200000
Accessories,40.373000
Bikes,6119.982000
Accessories,40.373000
Bikes,2039.994000
Bikes,6074.982000
Bikes,2039.994000
Bikes,2024.994000
Bikes,6074.982000
Bikes,6119.982000
Clothing,57.680800
Bikes,2039.994000
Clothing,86.521200
Accessories,20.186500
Accessories,20.186500
Bikes,2039.994000
Bikes,4079.988000
Clothing,5.186500
Accessories,100.932500
Bikes,4079.988000
Components,1445.189800
Components,714.704300
Components,722.594900
Bikes,10124.970000
Bikes,12149.964000
Clothing,11.400000
Bikes,10124.970000
Bikes,419.458900
Bikes,3578.270000
Bikes,3399.990000
Bikes,3399.990000
Bikes,699.098200
Bikes,3399.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3374.990000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3374.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3374.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3374.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3374.990000
Bikes,3374.990000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3399.990000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3374.990000
Bikes,3374.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3399.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,699.098200
Bikes,3578.270000
Bikes,3374.990000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3374.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,3374.990000
Bikes,3374.990000
Bikes,699.098200
Bikes,3374.990000
Bikes,3578.270000
Bikes,3578.270000
Bikes,699.098200
Bikes,3578.270000
Bikes,3578.270000
Bikes,4079.988000
Bikes,4049.988000
Components,1445.189800
Bikes,10124.970000
Components,1445.189800
Components,818.700000
Components,809.760000
Bikes,4079.988000
Clothing,11.400000
Bikes,6074.982000
Bikes,8099.976000
Bikes,4049.988000
Bikes,6074.982000
Bikes,2024.994000
Components,183.938200
Clothing,86.521200
Bikes,419.458900
Bikes,838.917800
Bikes,838.917800
Bikes,874.794000
Bikes,838.917800
Bikes,4293.924000
Components,183.938200
Clothing,20.746000
Components,551.814600
Clothing,5.186500
Components,178.580800
Components,183.938200
Clothing,28.840400
Clothing,5.186500
Bikes,874.794000
Bikes,2039.994000
Bikes,2024.994000
Bikes,2024.994000
Bikes,8099.976000
Bikes,4079.988000
Bikes,4049.988000
Clothing,28.840400
Bikes,4049.988000
Bikes,4079.988000
Accessories,20.186500
Bikes,2039.994000
Clothing,115.361600
Bikes,2039.994000
Accessories,20.186500
Bikes,4079.988000
Accessories,20.186500
Bikes,419.458900
Bikes,874.794000
Bikes,419.458900
Bikes,838.917800
Bikes,2146.962000
Components,551.814600
Components,183.938200
Bikes,2624.382000
Bikes,874.794000
Components,1070.694000
Components,178.580800
Bikes,838.917800
Bikes,419.458900
Accessories,20.186500
Bikes,1258.376700
Accessories,20.186500
Components,183.938200
Bikes,874.794000
Components,535.742400
Bikes,2146.962000
Bikes,419.458900
Clothing,5.186500
Accessories,60.559500
Bikes,2024.994000
Bikes,4049.988000
Bikes,2039.994000
Bikes,2039.994000
Bikes,8099.976000
Bikes,4049.988000
Bikes,6074.982000
Bikes,1749.588000
Bikes,838.917800
Bikes,838.917800
Bikes,2146.962000
Bikes,1677.835600
Components,178.580800
Bikes,1258.376700
Components,713.796000
Bikes,419.458900
Components,183.938200
Bikes,838.917800
Components,183.938200
Bikes,874.794000
Bikes,838.917800
Clothing,11.400000
Bikes,2024.994000
Bikes,419.458900
Bikes,419.458900
Bikes,838.917800
Bikes,2624.382000
Clothing,28.840400
Clothing,15.559500
Clothing,28.840400
Components,183.938200
Accessories,40.373000
Accessories,20.186500
Components,357.161600
Bikes,419.458900
Bikes,1749.588000
Accessories,40.373000
Bikes,838.917800
Bikes,838.917800
Bikes,2097.294500
